Country,Eligible population,Total English speakers,Total English speakers percent,As first language,As first language percent,As an additional language[1],As an additional language (%)
DZ,35954000,2516780,7,,,"2,516,780",
AS,57345,45933,80,"1,791",,"44,142",
AD,81222,17869,22,,,"17,869",
AI,13000,12000,92,"12,000",,,
AG,85000,68000,80,"66,000",,"2,000",
AR ,42192500,2752681,7,,,,
AW,104000,44000,42,"9,000",,"35,000",
AU,21394309,17357833,97,"15,013,965",70.17,"2,343,868",17
AT,8415000,6150000,73,,,"6,150,000",
BS,330549,288000,87,"260,000",,"28,000",
BD,163323100,30108031,18,"709,873",,"29,398,158",
BB,279000,275000,99,"262,000",,"13,000",
BE,10584534,6250000,60,,,"6,250,000",
BZ,301270,246000,82,"190,000",,"56,000",
BM,65000,63000,97,"63,000",,,
BW,1639833,630000,38,,,"630,000",
BR,205000000,10542000,5,"292,000",0.14,"10,250,000",5
BN,381371,144000,39,"10,000",,"134,000",
BG,7640238,1900000,25,"2,605",,"1,902,605",
CM,19740000,7500000,38,,,"7,500,000",
CA ,33121175,28360240,86,"18,858,980",56.94,"9,501,260",28.69
KY,47000,36000,77,"36,000",,,
CL,16634603,1585027,10,,,,
CN,1210000000,10000000,1,,,"10,000,000",
CO,47661368,2012950,4,"75,600",,"1,937,350",
CK,20200,4000,20,"1,000",,"3,000",
CR ,4910526,400415,8,,,"400,415",
HR ,4555000,2200000,49,,,"2,200,000",
CY,839000,610000,73,,,"610,000",
CZ,10562214,2850000,27,,,"2,850,000",
DK,5543000,4770000,86,,,"4,770,000",
DM,67000,63000,94,"3,000",,"60,000",
EG,83289500,28101325,35,,,"28,101,325",
EE,1294236,650000,50,,,"650,000",
FJ,853445,176000,21,"6,000",,"170,000",
FI,5410000,3800000,70,,,"3,800,000",
FM,111000,64000,58,"4,000",,"60,000",
FR,65350000,23000000,39,,,"23,000,000",
DE,80600000,45400000,56,"272,000",0.338,"45,100,000",56
GH,27000000,18000000,67,,,"18,000,000",
GI,28875,28875,100,"28,000",,875,
GR ,10787690,5500000,51,,,"5,500,000",
GD,110000,100000,91,"100,000",,,
GU ,173456,158000,91,"58,000",,"100,000",
GY,751000,680000,91,"650,000",,"30,000",
HK,6808433,3136784,46,"238,288",3.5,"2,898,496",
HU,9982000,2000000,20,,,"2,000,000",
IN,1028737436,125344736,12,"226,449",0.02,"125,118,287",12.16
IQ,31700000,11095000,35,,,"11,000,000",
IM,80058,80000,100,"80,000",,,
IL,7303000,6205000,85,"100,000",1.37,"6,105,000",
IT,59619290,17000000,34,,,"17,000,000",
JM,2714000,2650000,98,"45,900",17.1,"50,000",
JO,6598000,2969370,45,,,"2,969,370",
KZ,12156705,1874583,15,602,,"1,873,981",
KE,43013431,8100000,19,,,"7,900,000",
KI,95000,23000,24,,,"23,000",
LV,2070371,950000,46,,,"950,000",
LB,4265600,1706000,40,,,"1,706,000",
LS,1795000,500000,28,,,"500,000",
LR,3750000,3100000,83,"600,000",16,"2,500,000",
LT,3053800,1160000,38,,,"1,160,000",
LU,509000,290000,56,,,"290,000",
MG,23042300,4147614,18,,,"4,147,614",
MW,13931831,540209,4,209,,"540,000",
MY ,27170000,15580000,63,"380,000",1.4,"15,200,000",61.1
MT,453000,400000,89,"48,000",,"352,000",
MH,59000,60000,98,,,"60,000",
MU,1264866,202000,16,"2,000",,"200,000",
MX,120664000,15686262,13,,,"15,686,262",
MS,5900,4000,68,"4,000",,,
MA,32770900,4587926,14,,,"4,587,926",
MM,53900000,2400000,4,,,"2,400,000",
NA ,1820916,314000,17,"14,000",,"300,000",
NR,10300,800,96,"9,500",,,
NP,29890686,10700866,36,"20,000",0.067,"876,720",
NL,16770000,15030000,90,,,"15,030,000",
NZ,4275100,3673623,98,"3,673,623",85.93,,
NG,156493000,79000000,53,,,"79,000,000",53.34
MP,84000,70000,83,"5,000",,"65,000",
NO,5136700,4500000,90,,,"4,500,000",
PK,188400100,108036049,57,"8,642,883",8,"92,316,049",49
PW,20000,18500,93,500,,"18,000",
PG,6331000,3150000,50,"150,000",2.37,"3,000,000",
PH,100437852,64025890,64,"36,935",0.0037,"63,988,955",63.72
PL,38501000,14300000,37,"100,000",,"14,200,000",
PT,10623000,2900000,27,,,"2,900,000",
PR,3991000,1940000,49,"100,000",,"1,840,000",
IE,4422100,4350000,98,"4,122,100",93.21,"237,900",
RO,19043767,5900000,31,,,"5,900,000",
RU,138312535,7574303,5,"2,522",,"7,571,787",
RW,10137400,1520610,15,,,"1,520,610",
KN,50000,39000,78,"39,000",,,
LC,165000,71000,43,"31,000",,"40,000",
VC,120000,114000,95,"114,000",,,
WS,188540,94000,50,"1,000",,"93,000",
SC,87000,33000,38,"3,000",,"30,000",
SL,5866000,4900000,84,"500,000",8.52,"4,400,000",
SG,5607300,4218737,83,"1,873,302",36.9,"2,345,435",
SK,5397036,1400000,26,,,"1,400,000",
SI,2050000,1210000,59,,,"1,210,000",
SB,552438,175000,32,"10,000",,"165,000",
ZA ,52981991,16424417,31,"4,930,510",9.3,"11,493,907",22
ES,47190000,10400000,22,,,"10,400,000",
LK,22480000,10565600,47,"37,061",0.2,"9,680,000",47
SR,470784,410000,87,"260,000",,"150,000",
SZ,1141000,50000,4,,,"50,000",
SE,9921541,8200000,86,,,"8,200,000",
CH,7637300,4680000,61,"73,400",0.96,"4,606,600",
TZ,40454000,4000000,10,,,"4,000,000",
TH ,63038247,17121187,27,,,"17,121,187",
GM,1709000,40000,2,,,"40,000",
TO,100000,30000,30,,,"30,000",
TT,1305000,1145000,88,"1,145,000",,,
TR,70586256,12000000,17,,,"12,000,000",
UG,30884000,2500000,8,,,"2,500,000",
UA,40044238,7207962,18,,,,
GB,64000000,59600000,98,"54,400,000",92.14,"5,128,000",5.6
US,296603003,283160411,95,"234,171,556",79,"48,988,855",16.5
VU,215446,180000,84,"60,000",,"120,000",
YE,24800000,2232000,9,,,"2,232,000",
ZM,11922000,1910000,16,"110,000",,"1,800,000",
ZW,13349000,5550000,42,"250,000",1.87,"5,300,000",
